add,R,00,20
and,R,00,24
jr,R,00,08
nor,R,00,27
slt,R,00,2A
sltu,R,00,2B
sll,R,00,00
srl,R,00,02
sub,R,00,22
j,J,02,NA
jal,J,03,NA
addi,I,08,NA
beq,I,04,NA
bne,I,05,NA
lb,I,20,NA
lbu,I,24,NA
lui,I,0F,NA
lw,I,23,NA
sb,I,28,NA
sw,I,2B,NA
